step,time,pos_x,pos_y,pos_z,local_x,local_y,local_z
81,0.8100,1.5170,50.5060,10.0000,-1.5170,48.7060,-10.0000
82,0.8200,1.5342,50.4722,10.0000,-1.5342,48.6722,-10.0000
83,0.8300,1.5513,50.4375,10.0000,-1.5513,48.6375,-10.0000
84,0.8400,1.5684,50.4020,10.0000,-1.5684,48.6020,-10.0000
85,0.8500,1.5854,50.3656,10.0000,-1.5854,48.5656,-10.0000
86,0.8600,1.6025,50.3284,10.0000,-1.6025,48.5284,-10.0000
87,0.8700,1.6195,50.2903,10.0000,-1.6195,48.4903,-10.0000
88,0.8800,1.6364,50.2514,10.0000,-1.6364,48.4514,-10.0000
89,0.8900,1.6534,50.2117,10.0000,-1.6534,48.4117,-10.0000
90,0.9000,1.6703,50.1711,10.0000,-1.6703,48.3711,-10.0000
91,0.9100,1.6872,50.1298,10.0000,-1.6872,48.3298,-10.0000
92,0.9200,1.7040,50.0876,10.0000,-1.7040,48.2876,-10.0000
93,0.9300,1.7209,50.0446,10.0000,-1.7209,48.2446,-10.0000
94,0.9400,1.7377,50.0008,10.0000,-1.7377,48.2008,-10.0000
95,0.9500,1.7544,49.9563,10.0000,-1.7544,48.1563,-10.0000
96,0.9600,1.7712,49.9109,10.0000,-1.7712,48.1109,-10.0000
97,0.9700,1.7879,49.8648,10.0000,-1.7879,48.0648,-10.0000
98,0.9800,1.8046,49.8179,10.0000,-1.8046,48.0179,-10.0000
99,0.9900,1.8213,49.7703,10.0000,-1.8213,47.9703,-10.0000
100,1.0000,1.8379,49.7219,10.0000,-1.8379,47.9219,-10.0000
101,1.0100,1.8545,49.6727,10.0000,-1.8545,47.8727,-10.0000
102,1.0200,1.8711,49.6228,10.0000,-1.8711,47.8228,-10.0000
103,1.0300,1.8876,49.5722,10.0000,-1.8876,47.7722,-10.0000
104,1.0400,1.9041,49.5209,10.0000,-1.9041,47.7209,-10.0000
105,1.0500,1.9206,49.4688,10.0000,-1.9206,47.6688,-10.0000
106,1.0600,1.9371,49.4161,10.0000,-1.9371,47.6161,-10.0000
107,1.0700,1.9536,49.3626,10.0000,-1.9536,47.5626,-10.0000
108,1.0800,1.9700,49.3084,10.0000,-1.9700,47.5084,-10.0000
109,1.0900,1.9864,49.2536,10.0000,-1.9864,47.4536,-10.0000
110,1.1000,2.0027,49.1981,10.0000,-2.0027,47.3981,-10.0000
111,1.1100,2.0191,49.1419,10.0000,-2.0191,47.3419,-10.0000
112,1.1200,2.0354,49.0850,10.0000,-2.0354,47.2850,-10.0000
113,1.1300,2.0516,49.0275,10.0000,-2.0516,47.2275,-10.0000
114,1.1400,2.0679,48.9693,10.0000,-2.0679,47.1693,-10.0000
115,1.1500,2.0841,48.9105,10.0000,-2.0841,47.1105,-10.0000
116,1.1600,2.1003,48.8511,10.0000,-2.1003,47.0511,-10.0000
117,1.1700,2.1165,48.7910,10.0000,-2.1165,46.9910,-10.0000
118,1.1800,2.1327,48.7303,10.0000,-2.1327,46.9303,-10.0000
119,1.1900,2.1488,48.6690,10.0000,-2.1488,46.8690,-10.0000
120,1.2000,2.1649,48.6071,10.0000,-2.1649,46.8071,-10.0000
121,1.2100,2.1809,48.5446,10.0000,-2.1809,46.7446,-10.0000
122,1.2200,2.1970,48.4815,10.0000,-2.1970,46.6815,-10.0000
123,1.2300,2.2130,48.4178,10.0000,-2.2130,46.6178,-10.0000
124,1.2400,2.2290,48.3536,10.0000,-2.2290,46.5536,-10.0000
125,1.2500,2.2450,48.2888,10.0000,-2.2450,46.4888,-10.0000
126,1.2600,2.2609,48.2234,10.0000,-2.2609,46.4234,-10.0000
127,1.2700,2.2768,48.1575,10.0000,-2.2768,46.3575,-10.0000
128,1.2800,2.2927,48.0910,10.0000,-2.2927,46.2910,-10.0000
129,1.2900,2.3086,48.0240,10.0000,-2.3086,46.2240,-10.0000
130,1.3000,2.3244,47.9565,10.0000,-2.3244,46.1565,-10.0000
131,1.3100,2.3403,47.8884,10.0000,-2.3403,46.0884,-10.0000
132,1.3200,2.3560,47.8198,10.0000,-2.3560,46.0198,-10.0000
